Event	ID	Name			Wwise Object Path	Notes
	137162860	Piky_Fall			\Default Work Unit\Piky\Piky_Fall	
	1518290705	Piky_Quiet			\Default Work Unit\Piky\Piky_Quiet	
	1786886922	Pum_Dead			\Default Work Unit\Pum\Pum_Dead	
	1815352093	Piky_To_SuperPiky			\Default Work Unit\Piky\Piky_To_SuperPiky	
	2299701063	Mik_Idle			\Default Work Unit\Mik\Mik_Idle	
	2333595876	Piky_Walk			\Default Work Unit\Piky\Piky_Walk	
	2367787684	Pum_Attack			\Default Work Unit\Pum\Pum_Attack	
	2970383493	Mik_Attack			\Default Work Unit\Mik\Mik_Attack	
	3001633723	Mik_Dead			\Default Work Unit\Mik\Mik_Dead	
	3056034208	Mik_Saw			\Default Work Unit\Mik\Mik_Saw	
	3128790028	SuperPiky_return			\Default Work Unit\Piky\SuperPiky_return	
	3144521379	Piky_Jump			\Default Work Unit\Piky\Piky_Jump	
	3271548291	Piky_Attack			\Default Work Unit\Piky\Piky_Attack	
	3569977758	Mik_Follow			\Default Work Unit\Mik\Mik_Follow	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	50278207	Mordisco2	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\Mordisco2_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Miks\Mik_Atack\Mordisco2		15408
	121954957	Paso2	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\Paso2_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Piky\Piky_Steps\Paso2		22078
	169203991	RugidoDetectado	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\RugidoDetectado_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Miks\Mik_Viewed\RugidoDetectado		294332
	171462856	Piky_Attak	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\Segada_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Piky\Piky_Attak		255996
	194837334	Silence	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\Silence_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Miks\Mik_Following\Silence		480064
	195247926	Paso1	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\Paso1_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Piky\Piky_Steps\Paso1		23668
	230531197	Pum_Dead	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\EnemyExplosion_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Pum\Pum_Dead		34456
	276987036	Idle	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\Idle_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Miks\Mik_Idle\Idle		894360
	288145229	Mordisco1	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\Mordisco1_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Miks\Mik_Atack\Mordisco1		14064
	325475089	whoosh-1	D:\Desktop\UAB\wall-run-engine\WWiseProject\GoGoPixel\.cache\Windows\SFX\whoosh-1_DDC98EF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Piky\whoosh-1		589612
